start;end;duration;phases;nphases;jobs;njobs;days;ndays
250580148518;250580148556;38;1,2;2;9;1;1;1
250580148556;250580148648;92;1,2;2;9;1;1;1
250580148648;250580148661;13;1,2;2;9;1;1;1
250580148661;250580148706;45;1,2;2;9;1;1;1
250580148706;250580148754;48;1,2;2;9;1;1;1
250580148754;250580148763;9;1,2;2;9;1;1;1
250580148763;250580148778;15;1,2;2;9;1;1;1
250580148778;250580148791;13;1,2;2;9;1;1;1
250580148791;250580148819;28;1,2;2;9;1;1;1
250580148819;250580148826;7;1,2;2;9;1;1;1
250580148826;250580148847;21;1,2;2;9;1;1;1
250580148847;250580148867;20;1,2;2;9;1;1;1
250580148867;250580148875;8;1,2;2;9;1;1;1
250580148875;250580148877;2;1,2;2;9;1;1;1
250580148877;250580148900;23;1,2;2;9;1;1;1
250580148900;250580148902;2;1,2;2;9;1;1;1
250580148902;250580148929;27;1,2;2;9;1;1;1
250580148929;250580148951;22;1,2;2;9;1;1;1
250580148951;250580148981;30;1,2;2;9;1;1;1
250580148981;250580149017;36;1,2;2;9;1;1;1
250580149017;250580149026;9;1,2;2;9;1;1;1
250580149026;250580149049;23;1,2;2;9;1;1;1
250580149049;250580149059;10;1,2;2;9;1;1;1
250580149059;250580149074;15;1,2;2;9;1;1;1
250580149074;250580149078;4;1,2;2;9;1;1;1
250580149078;250580149105;27;1,2;2;9;1;1;1
250580149105;250580149106;1;1,2;2;9;1;1;1
250580149106;250580149107;1;1,2;2;9;1;1;1
250580149107;250580149139;32;1,2;2;9;1;1;1
250580149139;250580149219;80;1,2;2;9;1;1;1
250580149219;250580149241;22;1,2;2;9;1;1;1
250580149241;250580149296;55;1,2;2;9;1;1;1
250580149296;250580149410;114;1,2;2;9;1;1;1
250580149410;250580149437;27;1,2;2;9;1;1;1
250580149437;250580149456;19;1,2;2;9;1;1;1
250580149456;250580149480;24;1,2;2;9;1;1;1
250580149480;250580149511;31;1,2;2;9;1;1;1
250580149511;250580149533;22;1,2;2;9;1;1;1
250580149533;250580149639;106;1,2;2;9;1;1;1
250580149639;250580149722;83;1,2;2;9;1;1;1
250580149722;250580149752;30;1,2;2;9;1;1;1
250580149752;250580149783;31;1,2;2;9;1;1;1
250580149783;250580149873;90;1,2;2;9;1;1;1
250580149873;250580149903;30;1,2;2;9;1;1;1
250580149903;250580149944;41;1,2;2;9;1;1;1
250580149944;250580149978;34;1,2;2;9;1;1;1
250580149978;250580150021;43;1,2;2;9;1;1;1
250580150021;250580150051;30;1,2;2;9;1;1;1
250580150051;250580150077;26;1,2;2;9;1;1;1
250580150077;250580150106;29;1,2;2;9;1;1;1
250580150106;250580150136;30;1,2;2;9;1;1;1
250580150136;250580150171;35;1,2;2;9;1;1;1
250580150171;250580150199;28;1,2;2;9;1;1;1
250580150199;250580150226;27;1,2;2;9;1;1;1
250580150226;250580150255;29;1,2;2;9;1;1;1
250580150255;250580150284;29;1,2;2;9;1;1;1
250580150284;250580150313;29;1,2;2;9;1;1;1
250580150313;250580150350;37;1,2;2;9;1;1;1
250580150350;250580150382;32;1,2;2;9;1;1;1
250580150382;250580150449;67;1,2;2;9;1;1;1
250580150449;250580150583;134;1,2;2;9;1;1;1
250580150583;250580150625;42;1,2;2;9;1;1;1
250580150625;250580150662;37;1,2;2;9;1;1;1
250580150662;250580150722;60;1,2;2;9;1;1;1
250580150722;250580150773;51;1,2;2;9;1;1;1
250580150773;250580150820;47;1,2;2;9;1;1;1
250580150820;250580150890;70;1,2;2;9;1;1;1
250580150890;250580150911;21;1,2;2;9;1;1;1
250580150911;250580150949;38;1,2;2;9;1;1;1
250580150949;250580151565;616;1,2;2;9;1;1;1
250580151565;250580151604;39;1,2;2;9;1;1;1
250580151604;250580151614;10;1,2;2;9;1;1;1
250580151614;250580151673;59;1,2;2;9;1;1;1
250580151673;250580151679;6;1,2;2;9;1;1;1
250580151679;250580151712;33;1,2;2;9;1;1;1
250580151712;250580151724;12;1,2;2;9;1;1;1
250580151724;250580151777;53;1,2;2;9;1;1;1
250580151777;250580151837;60;1,2;2;9;1;1;1
250580151837;250580151847;10;1,2;2;9;1;1;1
250580151847;250580151951;104;1,2;2;9;1;1;1
250580151951;250580151977;26;1,2;2;9;1;1;1
250580151977;250580152205;228;1,2;2;9;1;1;1
250580152205;250580152240;35;1,2;2;9;1;1;1
250580152240;250580152258;18;1,2;2;9;1;1;1
250580152258;250580152297;39;1,2;2;9;1;1;1
250580152297;250580152353;56;1,2;2;9;1;1;1
250580152353;250580152360;7;1,2;2;9;1;1;1
250580152360;250580152400;40;1,2;2;9;1;1;1
250580152400;250580152416;16;1,2;2;9;1;1;1
250580152416;250580152436;20;1,2;2;9;1;1;1
250580152436;250580152468;32;1,2;2;9;1;1;1
250580152468;250580152593;125;1,2;2;9;1;1;1
250580152593;250580152666;73;1,2;2;9;1;1;1
250580152666;250580152706;40;1,2;2;9;1;1;1
250580152706;250580152813;107;1,2;2;9;1;1;1
250580152813;250580152848;35;1,2;2;9;1;1;1
250580152848;250580152934;86;1,2;2;9;1;1;1
250580152934;250580152974;40;1,2;2;9;1;1;1
250580152974;250580153068;94;1,2;2;9;1;1;1
250580153068;250580153536;468;1,2;2;9;1;1;1
250580153536;250580153573;37;1,2;2;9;1;1;1
250580153573;250580153614;41;1,2;2;9;1;1;1
250580153614;250580153660;46;1,2;2;9;1;1;1
250580153660;250580153696;36;1,2;2;9;1;1;1
250580153696;250580153737;41;1,2;2;9;1;1;1
250580153737;250580153770;33;1,2;2;9;1;1;1
250580153770;250580153804;34;1,2;2;9;1;1;1
250580153804;250580153846;42;1,2;2;9;1;1;1
250580153846;250580154390;544;1,2;2;9;1;1;1
250580154390;250580155149;759;1,2;2;9;1;1;1
250580155149;250580155398;249;1,2;2;9;1;1;1
250580155398;250580155446;48;1,2;2;9;1;1;1
250580155446;250580155503;57;1,2;2;9;1;1;1
250580155503;250580155538;35;1,2;2;9;1;1;1
250580155538;250580155940;402;1,2;2;9;1;1;1
250580155940;250580156441;501;1,2;2;9;1;1;1
250580156441;250580156506;65;1,2;2;9;1;1;1
250580156506;250580166198;9692;1,2;2;9;1;1;1
250580166198;250580177208;11010;1,2;2;9;1;1;1
250580177208;250580177532;324;1,2;2;9;1;1;1
250580177532;250580201261;23729;1,2;2;9;1;1;1
250580201261;250580201786;525;1,2,4;3;9;1;1;1
250580201786;250580203997;2211;1,2;2;9;1;1;1
250580203997;250580204222;225;0,1,2;3;9;1;1;1
